factor_id,candidate_index,horizon,cost_bp,q,positive_validation_blocks,worst_validation_block_bp,validation_rank_ic,validation_trades,validation_trades_per_year,validation_cagr,validation_sharpe,validation_max_drawdown,validation_calmar,validation_mean_gross_bp,selection_rank_ic,selection_trades,selection_trades_per_year,selection_cagr,selection_sharpe,selection_max_drawdown,selection_calmar,selection_mean_gross_bp,frequency_retention,balanced_cagr
BTC_LONG_bef4a833e03f7a1e_1d,925594,1d,5.0,99,4,31.869612713694817,0.043157335171016324,18,13.448700556143503,0.4864424994922356,1.4663006931016795,-0.13544614797588106,3.591408886569861,331.18450148184013,0.042963756621907136,49,14.204166666666666,0.14603940977178742,0.8858914258937519,-0.18655024795801023,0.782842217420471,111.22719776809507,1.0561739111796982,0.14603940977178742
BTC_LONG_b4619b7a0e5b33e1_1d,874304,1d,5.0,95,3,-38.77001090178805,0.09833817945025966,180,134.48700556143504,0.7892081903926429,1.4127924260607767,-0.4729034222657117,1.668857008078931,57.364722604322004,-0.002630572454793827,470,136.24404761904762,-0.18336351983537036,-0.4073225875369285,-0.6630643521128232,-0.27653955344016184,-5.4071916034042165,1.0130647719478738,-0.18336351983537036
BTC_LONG_26b9aae3bc04b3bb_1d,187054,1d,5.0,99,4,66.95900175159515,0.052193320399217404,24,17.931600741524672,0.3107118657310186,2.135140918230892,-0.027718438802755596,11.209573091112533,160.54941934343609,0.03290401774233491,185,53.62797619047619,0.09829567687921825,0.6000865613962615,-0.2479202691814223,0.3964810025568654,25.56683493112266,2.9906965342078187,0.09829567687921825
BTC_LONG_83b8330cae380ff5_1d,637395,1d,5.0,99,4,115.60219313614434,0.06791695606641902,56,41.84040173022424,0.9477188275511903,2.144153152950495,-0.11020799599382314,8.599365399987015,176.97473462171504,-0.0058612831114462985,228,66.09285714285714,0.029673382645921897,0.24419133449454272,-0.3283566546973795,0.09036936581434453,12.682646261911072,1.5796420304232803,0.029673382645921897
BTC_LONG_36250ad2d59d3ba3_1d,261548,1d,5.0,97,1,-97.08610713870368,0.06694938117431573,67,50.059052070089706,0.008211216322410397,0.18636716786726176,-0.36480938675047647,0.02250823750877532,16.74171563951738,0.03486533796056367,148,42.90238095238095,0.1483339491759723,0.6508954236126872,-0.3199445476865459,0.4636239318611459,45.81332624503756,0.8570354247282108,0.008211216322410397
BTC_LONG_7aca9eb9707402f3_1d,594694,1d,5.0,99,3,-18.303351827803468,0.05565191700686554,21,15.690150648834088,0.549036416391619,1.936146884363923,-0.0387062301158132,14.184703980440437,300.838972843592,-0.004785881058464755,138,40.003571428571426,-0.10358878945974592,-0.45758902022084863,-0.4524347768327498,-0.22895850355473288,-17.457808781491437,2.5495976631393296,-0.10358878945974592
BTC_LONG_ac6cf6c48d0f4004_1d,835812,1d,5.0,95,3,-58.78282705546637,0.10006937959202852,99,73.96785305878927,0.11211292224935687,0.4800511024396581,-0.34922357232701795,0.3210348073078318,27.599197586571787,0.0288625983824958,426,123.48928571428571,0.21040628375464454,0.7327473317743167,-0.5091965058626953,0.41321234794839806,25.186755464308355,1.6694993920688364,0.11211292224935687
BTC_LONG_8d4a1327987b861e_1d,684076,1d,5.0,99,4,100.85344453323012,0.06062242371472725,36,26.897401112287007,0.9434843746049986,1.8991121414371692,-0.1645055900693323,5.735272425741636,278.20644262104304,0.01922472466882971,101,29.27797619047619,0.10356155629398245,0.6109847277988222,-0.20877067387903692,0.4960541361953293,44.85461571568063,1.0885057656035664,0.10356155629398245
BTC_LONG_a2a3ae325bca3b40_1d,787943,1d,5.0,99,4,80.8429093140332,0.07072778063945201,44,32.8746013594619,0.5606134485815562,1.5864519917702182,-0.0839116325050312,6.680997995694372,153.84667130034902,-0.016388196590739947,209,60.585119047619045,-0.10100329508994244,-0.3695634704621631,-0.5150016507218178,-0.19612227445946606,-8.50207087193252,1.8429157021604936,-0.10100329508994244
BTC_LONG_7c2438a06da7a523_1d,601098,1d,5.0,99,4,145.48662183158334,0.0668017596563117,27,20.173050834215257,0.6313259901482839,1.617990032949627,-0.13808006273615014,4.572173401707176,274.2188351716419,0.039690165595619,34,9.855952380952381,0.07611531954252682,0.5188661532193518,-0.2296553239740221,0.33143285435497566,93.8694323930105,0.48857024462734333,0.07611531954252682
BTC_LONG_2c4c37c3a3212b77_1d,213926,1d,5.0,95,2,-111.16563522301745,0.01945546145743638,145,108.33675448004489,0.38376095919869346,1.063692701213763,-0.23610037783626425,1.6254144221015687,41.09548514769933,-0.005166735659658746,506,146.6797619047619,-0.150672291414798,-0.24760068639422408,-0.6324020270302946,-0.23825396658252676,-1.3201165707308913,1.3539242762877821,-0.150672291414798
BTC_LONG_382c404ccaf8baa6_1d,271368,1d,5.0,99,3,-62.48834481594745,0.07304918123376415,30,22.41450092690584,0.4778920594109395,1.4113649765387715,-0.17282878711594496,2.765118400618862,200.16159428505753,0.025853523009805375,58,16.813095238095237,0.18950502787768486,0.9775055840854965,-0.12716974501669476,1.4901738448308344,119.28965549005062,0.7500990226337447,0.18950502787768486
BTC_LONG_40c1a4500df7481d_1d,313213,1d,5.0,95,3,-39.972950326129855,0.017286715191771596,181,135.2341555923319,0.48593696413077625,1.069422066219391,-0.3893531907227157,1.2480621084131407,42.66782930580441,-0.0027321376861394165,555,160.88392857142856,-0.1450241852270977,-0.3550271846381978,-0.5887798499794287,-0.2463130917815287,-1.7864817853145294,1.189669339574381,-0.1450241852270977
